Date/Time,0cm EAG Soil Moisture [%] ,-10cm EAG Soil Moisture [%],-20cm EAG Soil Moisture [%],-30cm EAG Soil Moisture [%],-40cm EAG Soil Moisture [%],-50cm EAG Soil Moisture [%]
2019-06-04 07:00:00,1.65,34.01,44.41,46.39,49.2,50.55
2019-06-04 08:00:00,1.68,33.92,44.32,46.36,49.19,50.55
2019-06-04 09:00:00,1.73,33.89,44.21,46.32,49.17,50.56
2019-06-04 10:00:00,1.77,33.85,44.02,46.3,49.13,50.56
2019-06-04 11:00:00,1.75,33.85,43.82,46.24,49.08,50.56
2019-06-04 12:00:00,1.72,33.87,43.61,46.21,49.03,50.56
2019-06-04 13:00:00,1.65,33.84,43.42,46.18,48.87,50.56
2019-06-04 14:00:00,1.6,33.67,43.23,46.17,48.78,50.56
2019-06-04 15:00:00,1.55,33.4,43.03,46.16,48.75,50.55
2019-06-04 16:00:00,1.55,33,42.83,46.14,48.73,50.54
2019-06-04 17:00:00,1.48,32.58,42.65,46.14,48.72,50.54
2019-06-04 18:00:00,1.45,32.13,42.49,46.15,48.7,50.54
2019-06-04 19:00:00,1.4,31.8,42.42,46.19,48.7,50.54
2019-06-04 20:00:00,1.38,31.48,42.38,46.22,48.7,50.54
2019-06-04 21:00:00,1.37,31.21,42.34,46.25,48.7,50.54
2019-06-04 22:00:00,1.35,30.93,42.28,46.26,48.72,50.55
2019-06-04 23:00:00,1.36,30.67,42.2,46.29,48.63,50.55
2019-06-05 00:00:00,1.36,30.44,42.1,46.31,48.63,50.58
2019-06-05 01:00:00,1.37,30.23,42,46.31,48.63,50.59
2019-06-05 02:00:00,1.37,30.04,41.91,46.31,48.64,50.58
2019-06-05 03:00:00,1.37,29.85,41.8,46.3,48.63,50.58
2019-06-05 04:00:00,1.38,29.69,41.71,46.28,48.63,50.6
2019-06-05 05:00:00,1.38,29.54,41.6,46.27,48.64,50.6
2019-06-05 06:00:00,1.4,29.39,41.5,46.25,48.64,50.61
2019-06-05 07:00:00,1.41,29.28,41.39,46.23,48.64,50.61
2019-06-05 08:00:00,1.44,29.22,41.29,46.2,48.61,50.62
2019-06-05 09:00:00,1.49,29.22,41.15,46.17,48.59,50.61
2019-06-05 10:00:00,1.54,29.21,40.97,46.13,48.57,50.61
2019-06-05 11:00:00,1.52,29.26,40.74,46.08,48.54,50.61
2019-06-05 12:00:00,1.51,29.33,40.45,46.03,48.5,50.6
2019-06-05 13:00:00,1.42,29.35,40.2,46,48.46,50.6
2019-06-05 14:00:00,1.35,29.17,39.96,45.97,48.43,50.61
2019-06-05 15:00:00,1.29,28.9,39.73,45.95,48.4,50.59
2019-06-05 16:00:00,1.24,28.53,39.5,45.96,48.38,50.59
2019-06-05 17:00:00,1.21,28.14,39.29,45.95,48.36,50.59
2019-06-05 18:00:00,1.19,27.75,39.1,45.97,48.08,50.6
2019-06-05 19:00:00,1.17,27.43,38.98,46,48.06,50.59
2019-06-05 20:00:00,1.15,27.16,38.93,46.03,48.07,50.59
2019-06-05 21:00:00,1.14,26.93,38.87,46.05,48.06,50.59
2019-06-05 22:00:00,1.14,26.71,38.8,46.09,48.09,50.59
2019-06-05 23:00:00,1.14,26.51,38.73,46.09,48.08,50.59
2019-06-06 00:00:00,1.14,26.32,38.63,46.1,48.09,50.6
2019-06-06 01:00:00,1.14,26.15,38.53,46.1,48.1,50.62
2019-06-06 02:00:00,1.14,25.99,38.43,46.1,48.11,50.63
2019-06-06 03:00:00,1.14,25.85,38.33,46.09,48.11,50.64
2019-06-06 04:00:00,1.15,25.72,38.21,46.09,48.11,50.63
2019-06-06 05:00:00,1.15,25.61,38.11,46.05,48.1,50.63
2019-06-06 06:00:00,1.16,25.51,38,46.04,48.09,50.64
2019-06-06 07:00:00,1.18,25.44,37.89,46.02,48.09,50.65
2019-06-06 08:00:00,1.21,25.4,37.77,45.99,48.06,50.65
2019-06-06 09:00:00,1.26,25.38,37.59,45.95,48.06,50.66
2019-06-06 10:00:00,1.25,25.38,37.36,45.91,48.03,50.66
2019-06-06 11:00:00,1.27,25.35,37.06,45.85,47.99,50.65
2019-06-06 12:00:00,1.23,25.42,36.72,45.78,47.94,50.65
2019-06-06 13:00:00,1.16,25.37,36.49,45.75,47.9,50.63
2019-06-06 14:00:00,1.15,25.23,36.26,45.71,47.9,50.63
2019-06-06 15:00:00,1.12,25.07,36,45.69,47.85,50.63
2019-06-06 16:00:00,1.11,24.83,35.71,45.66,47.82,50.62
2019-06-06 17:00:00,1.08,24.6,35.44,45.64,47.79,50.61
2019-06-06 18:00:00,1.05,24.38,35.22,45.64,47.78,50.6
2019-06-06 19:00:00,1.01,24.14,35.05,45.65,47.76,50.61
2019-06-06 20:00:00,1,23.94,34.97,45.66,47.76,50.61
2019-06-06 21:00:00,1,23.75,34.9,45.67,47.76,50.6
2019-06-06 22:00:00,1.01,23.6,34.83,45.69,47.77,50.61
2019-06-06 23:00:00,1.01,23.47,34.75,45.69,47.77,50.61
2019-06-07 00:00:00,1.02,23.35,34.67,45.69,47.78,50.62
2019-06-07 01:00:00,1.02,23.25,34.58,45.69,47.76,50.63
2019-06-07 02:00:00,1.02,23.15,34.51,45.69,47.75,50.64
2019-06-07 03:00:00,1.03,23.05,34.42,45.68,47.76,50.64
2019-06-07 04:00:00,1.04,22.96,34.33,45.66,47.76,50.63
2019-06-07 05:00:00,1.04,22.87,34.25,45.64,47.76,50.62
2019-06-07 06:00:00,1.05,22.78,34.14,45.63,47.76,50.61
2019-06-07 07:00:00,1.06,22.72,34.05,45.6,47.75,50.6
2019-06-07 08:00:00,1.08,22.71,33.95,45.57,47.74,50.6
2019-06-07 09:00:00,1.14,22.71,33.8,45.54,47.72,50.6
2019-06-07 10:00:00,1.17,22.78,33.59,45.5,47.69,50.61
2019-06-07 11:00:00,1.15,22.89,33.31,45.43,47.66,50.61
2019-06-07 12:00:00,1.14,23.02,32.98,45.37,47.63,50.6
2019-06-07 13:00:00,1.07,23.13,32.56,45.28,47.57,50.58
2019-06-07 14:00:00,1.04,23.09,32.29,45.21,47.54,50.57
2019-06-07 15:00:00,0.99,22.89,31.95,45.14,47.49,50.57
2019-06-07 16:00:00,0.94,22.56,31.65,45.09,47.46,50.56
2019-06-07 17:00:00,0.91,22.28,31.44,45.08,47.44,50.55
2019-06-07 18:00:00,0.91,22.04,31.3,45.07,47.43,50.55
2019-06-07 19:00:00,0.89,21.84,31.18,45.06,47.43,50.55
2019-06-07 20:00:00,0.88,21.64,31.08,45.06,47.42,50.55
2019-06-07 21:00:00,0.87,21.45,31.01,45.06,47.43,50.55
2019-06-07 22:00:00,0.87,21.29,30.94,45.08,47.44,50.54
2019-06-07 23:00:00,0.86,21.13,30.86,45.07,47.43,50.55
2019-06-08 00:00:00,0.86,20.98,30.77,45.06,47.47,50.56
2019-06-08 01:00:00,0.86,20.85,30.68,45.06,47.47,50.57
2019-06-08 02:00:00,0.87,20.73,30.59,45.03,47.46,50.59
2019-06-08 03:00:00,0.87,20.63,30.49,45.01,47.45,50.58
2019-06-08 04:00:00,0.88,20.54,30.41,44.99,47.45,50.56
