soilType,plotCluster ,wine,flavorType,sensoryFlavor,judgeNumber,ratioFlavorJudge
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,sweet,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,sweet,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,reduced,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,reduced,1,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,reduced,1,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,ventilated (oxidised),1,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,ventilated (oxidised),1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,ventilated (oxidised),1,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,animal,1,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,animal,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,animal,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,rubber,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,rubber,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,rubber,1,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,mouldy,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,mouldy,1,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,mouldy,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,dust,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,dust,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,dust,1,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,sweat,1,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,sweat,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,sweat,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,socks,1,1.00
